Title,Brand,Price,Discount,Stock Status,Rating,Social Proof,URL
"Niyama BT-58 Thermal Receipt Printer Portable Mobile Mini Small Printer 2 Inch Bluetooth + USB 58MM for Restaurant, Sales, Kitchen, Retail Supports Window Android iOS (Without Adaptor)",,Discount not found,"2,848",Stock info not found,4.4  4.4 out of 5 stars  (17),,https://www.amazon.in/Niyama-BT-58-Portable-Bluetooth-Restaurant/dp/B0BCX5TXPH
Print Star MF244 ADF Hinges Compatible with Canon MF244 & MF4412,"Visit the store, Print Star    Print Star   Visit the store",₹599,269,In stock,Rating not found,,https://www.amazon.in/Print-Star-Hinges-Compatible-MF4412/dp/B0BWF2SZZQ
Onsitego 2 Years Extended Warranty for Printers and Scanners from Rs. 10001 to Rs. 20000 (Email Delivery - No Physical Kit),"Visit the store, ONSITEGO    ONSITEGO   Visit the store","₹1,999","1,495",In stock,Rating not found,,https://www.amazon.in/OnsiteGo-Extended-Warranty-Printers-Scanners/dp/B01N1QT3IG
"HipponixTech Disk Round Encoder Original for Canon G-Series G2000,G1000,G3000,G4000,G1010,G2010,G2020,G3010,G2002 Printer",,₹499,249,In stock,4.3  4.3 out of 5 stars  (14),,https://www.amazon.in/HipponixTech-Encoder-Original-Canon-Printer/dp/B0CGXXBRKJ
ATPOS AT-302 80mm (3 Inches) Direct Thermal Printer | Auto Cutter | ESC/POS Print Billing Invoice (USB+LAN),,"₹8,750","5,799",In stock,4.1  4.1 out of 5 stars  (32),,https://www.amazon.in/AT-302-Inches-Thermal-Printer-Billing/dp/B084D3NTNR
Canon PIXMA E3370 All-in-One Wireless Ink Efficient Color Printer (Black),"Visit the store, Canon    Canon   Visit the store","₹9,500","6,589",Only 2 left in stock.,Rating not found,,https://www.amazon.in/Canon-E3370-Wireless-Efficient-Printer/dp/B08237TT4L
Title not found,Brand not found,Discount not found,Price not found,Stock info not found,Rating not found,No social proof available,URL not found
Brother Ptouch PT-H105 Label Printer,Visit the Brother Store,"₹6,800","5,749",In stock,3.7  3.7 out of 5 stars  (49),,https://www.amazon.in/PT-H105-Portable-Handheld-Electronic-Labeller/dp/B00N2UET3E
"HP Ink Advantage Ultra 4826 Print, Copy, Scan, Self Reset Dual Band WiFi, 2 Sets of Inbox Cartridges",Visit the HP Store,"₹11,825","1,182",In stock,5.0  5.0 out of 5 stars  (2),,https://www.amazon.in/HP-Advantage-Cartridges-Original-Cartridge/dp/B0BQG35VXX
Epson EcoTank L3215 A4 All-in-One Ink Tank Printer,Visit the Epson Store,"₹14,999","13,696",In stock,3.3  3.3 out of 5 stars  (57),,https://www.amazon.in/Epson-L3215-Color-Printer-White/dp/B09L5XC1L8
"PeriPeri 4x6 Wireless USB+Bluetooth Direct Thermal Label Barcode, Receipt Printer Adjustable Label/Receipt Size Support Android iOS Windows Mac Linux Chrome OS 152mm/s Printing Speed (1Year Warranty)",Visit the PeriPeri Store,"₹19,999","7,399",In stock,3.4  3.4 out of 5 stars,,https://www.amazon.in/PeriPeri-4inch-Label-Printer-Compatible/dp/B0C7XGZNTV
